buchstabe	{'06828818-n'}
höher	{'10675876-n'}
dschiggetai	{'02390938-n'}
beobachten	{'02169352-v'}
gouverneur	{'10140314-n'}
khedive	{'10230216-n'}
uniform	{'04509592-n'}
tribunal	{'08329453-n'}
tiger	{'02129604-n'}
jaguar	{'02128925-n'}
leopard	{'02128385-n'}
adrenalin	{'05408388-n'}
gedächtnis	{'05935060-n'}
vorderpfote	{'02440121-n'}
affix	{'06308049-n'}
ethylen	{'14851157-n'}
sämischleder	{'14761806-n'}
veloursleder	{'14763964-n'}
hirschleder	{'14760555-n'}
tierhaut	{'14762486-n'}
schweinsleder	{'14763424-n'}
wald	{'08438533-n', '09284015-n'}
wüste	{'08505573-n'}
thermometer	{'04421872-n'}
terrarium	{'04414199-n'}
aquarium	{'02732072-n'}
entbindung	{'00042541-n', '13532886-n'}
halstuch	{'03814817-n'}
meerrettich	{'11873182-n'}
rogen	{'07799278-n'}
raubmöwe	{'02044178-n'}
tessera	{'04414909-n'}
baldachin	{'02951843-n'}
äthiopier	{'09705124-n'}
würstchen	{'07675627-n'}
methyl	{'14952122-n'}
ethyl	{'14710325-n'}
endothel	{'05240522-n'}
mesothel	{'05240710-n'}
peyotl	{'11849271-n'}
monotheismus	{'06224136-n'}
pantheismus	{'06225235-n'}
polytheismus	{'06224305-n'}
lieschgras	{'12130549-n'}
elastin	{'05287731-n'}
käsekuchen	{'07630089-n'}
früchtebrot	{'07631350-n'}
torte	{'07633511-n'}
nadel	{'03940256-n'}
kathmandu	{'08906809-n'}
nepali	{'09724066-n'}
nepalesen	{'09724066-n'}
vokal	{'07112550-n'}
athletik	{'07456638-n'}
kenaf	{'12178129-n', '12178358-n'}
roselle	{'12179632-n'}
hickory	{'12320285-n'}
bitternuss	{'12320806-n'}
kampala	{'09043926-n'}
farbstoff	{'14989820-n', '14991106-n'}
zahnreinigungsmittel	{'03176084-n'}
hangar	{'02687821-n'}
flugplatz	{'02687992-n'}
platz	{'02687992-n'}
koboldkärpfling	{'01449374-n'}
proletarier	{'10481711-n'}
lumpenproletariat	{'08181075-n'}
meditation	{'05785885-n'}
mandoline	{'03716966-n'}
gämse	{'02419336-n'}
herzrhythmusstörung	{'14110674-n'}
bienenstock	{'02822865-n'}
bienenhaus	{'02822865-n'}
dichter	{'10444194-n'}
beschaffung	{'00083729-n', '02238536-v', '02210855-v', '00041899-n'}
string	{'02880546-n'}
finanzierung	{'02217266-v'}
finanz	{'02217266-v'}
tschechisch	{'09699200-n'}
tschechoslowakisch	{'09699200-n'}
umwandlung	{'07415730-n'}
experte	{'09617867-n'}
held	{'10172793-n'}
verpflegung	{'01180844-v'}
sadismus	{'07493830-n'}
masochismus	{'07494175-n'}
glottis	{'05301526-n'}
stellknorpel	{'05530092-n'}
phytoplankton	{'01383896-n'}
zooplankton	{'01384164-n'}
unterlage	{'03872495-n'}
futon	{'03408444-n'}
adel	{'10271677-n', '08388207-n'}
staub	{'14839846-n'}
hauhechel	{'12553114-n'}
raumschiff	{'04264914-n', '04304215-n'}
tölpel	{'02053083-n', '02053584-n'}
klassifikation	{'01012712-n'}
zwillinge	{'09287613-n'}
häutchen	{'05426243-n'}
wärmedämmung	{'14415518-n'}
adenosin	{'14707101-n'}
desoxyadenosin	{'15073018-n'}
guanosin	{'15073285-n'}
inosin	{'14919635-n'}
yokohama	{'08924238-n'}
kyōto	{'08925093-n'}
sekretion	{'05404728-n'}
insulin	{'05410646-n'}
vasopressin	{'05414147-n'}
kassie	{'12491626-n'}
halluzinogen	{'03479647-n'}
schaft	{'04270891-n'}
folter	{'00421437-n'}
wegerich	{'12598826-n'}
bocksbart	{'12027222-n'}
haferwurzel	{'12027658-n'}
these	{'06750804-n'}
hibiskus	{'12177844-n'}
grillen	{'00324806-v'}
garen	{'00322847-v'}
gegrillt	{'00328370-v'}
stheno	{'09498072-n'}
euryale	{'09498186-n'}
medusa	{'09497913-n'}
moostierchen	{'02313495-n'}
riemen	{'04333500-n', '04333129-n'}
nehmen	{'02209745-v'}
institution	{'08053576-n'}
ideal	{'05923696-n'}
geschichtenerzähler	{'10345804-n'}
hagebutte	{'12620546-n'}
bardame	{'09839702-n'}
angestellte	{'10053808-n'}
ninja	{'08389094-n'}
terrorismus	{'00759694-n'}
tierkreiszeichen	{'06791372-n', '08685677-n'}
krebs	{'09232687-n', '14239918-n'}
widder	{'09206133-n'}
stier	{'09455306-n'}
wassermann	{'09201840-n'}
schütze	{'09419112-n'}
steinbock	{'09235713-n'}
waage	{'09339109-n'}
fische	{'09392824-n'}
dakar	{'08996118-n'}
braunhemd	{'09877443-n'}
abalone	{'01943087-n'}
cool	{'04904162-n'}
diptam	{'12712488-n'}
pipeline	{'03946325-n'}
papaya	{'12373100-n'}
bockshornklee	{'12574470-n'}
vortrag	{'07135734-n'}
thrombus	{'14373246-n'}
neu	{'06367879-n'}
appendix	{'06399337-n'}
vogelbeckensaurier	{'01700470-n'}
schwede	{'09732441-n'}
skandinavien	{'08760510-n'}
stockholm	{'08766236-n'}
göteborg	{'08766667-n'}
uppsala	{'08766846-n'}
sack	{'02773037-n'}
mitochondrium	{'05445389-n'}
zellkern	{'05434927-n'}
asimina	{'11695599-n'}
spielfeld	{'08570758-n'}
stehen	{'04300741-n'}
park	{'02782778-n'}
ungefähr	{'02782778-n'}
antiteilchen	{'09199904-n'}
masse	{'00020827-n'}
sediment	{'09428967-n'}
jacke	{'03589791-n'}
mittelfußknochen	{'05277405-n'}
pfauenspinner	{'02301452-n'}
beobachtung	{'01002956-n'}
mitteilung	{'06253690-n'}
anzeige	{'06887726-n'}
signalübertragung	{'06791372-n'}
sarkomer	{'05460163-n'}
ultramarinblau	{'04974859-n', '15083146-n'}
gesang	{'07048000-n'}
astrologie	{'05778131-n'}
albtraum	{'05769062-n'}
fantasie	{'05767733-n'}
sonnentau	{'12782530-n'}
flucht	{'02074677-v'}
ausgabe	{'06590446-n'}
katholik	{'09679925-n'}
päpste	{'08053260-n'}
gegenpapst	{'09797375-n'}
vene	{'05418717-n'}
aluminium	{'14627820-n'}
kümmern	{'00654885-n'}
pflege	{'00654885-n'}
mahlen	{'03765561-n'}
amphitheater	{'02704949-n'}
zirkus	{'03035089-n'}
vaquero	{'09973209-n'}
cowgirl	{'09973422-n'}
gaucho	{'10122441-n'}
ergosterin	{'15059404-n'}
design	{'01639714-v'}
gerät	{'03183080-n', '02729965-n', '04176528-n'}
silberrücken	{'02481500-n'}
damaszener	{'09733580-n'}
korsar	{'10435367-n'}
armagnac	{'07903731-n'}
fluchen	{'07125096-n'}
doktorfisch	{'02621258-n'}
guanin	{'14892138-n'}
adenin	{'14706889-n'}
thymin	{'15072857-n'}
cytosin	{'14828511-n'}
faktor	{'05436752-n'}
pyrop	{'15000060-n'}
almandin	{'14676486-n'}
andradit	{'14829264-n'}
karfunkel	{'14877486-n'}
meerbarbe	{'02600298-n'}
grasnelke	{'12098827-n'}
florenz	{'08812166-n'}
pisa	{'08809910-n'}
entwicklung	{'13489037-n'}
eidechse	{'01693020-n'}
azurit	{'14667855-n'}
gibbon	{'02483362-n'}
fluor	{'14637507-n'}
lhasa	{'08907377-n'}
jahrbuch	{'06426468-n'}
nervengift	{'15036321-n'}
weizen	{'12142085-n', '07803545-n'}
geben	{'00944247-v'}
flug	{'00302394-n'}
unterschrift	{'06404907-n'}
quilt	{'04033995-n'}
gnomon	{'03442597-n'}
sula	{'02053279-n'}
kreuzkraut	{'12012755-n'}
volk	{'07942152-n', '08372411-n'}
eisenholz	{'12288005-n', '12317296-n'}
pfand	{'03177349-n'}
weiß	{'00280301-v'}
peroxid	{'00279661-v'}
gebleicht	{'00280301-v'}
sonnenhut	{'12008252-n', '11962272-n'}
interpretation	{'05928513-n', '07170753-n'}
kühlung	{'13548531-n'}
transistor	{'04471632-n'}
diode	{'03202760-n'}
syndrom	{'14304060-n'}
zahnmedizin	{'06047430-n'}
periode	{'15254028-n'}
lasagne	{'07701053-n'}
spagetti	{'07699914-n'}
tortellini	{'07700167-n'}
makkaroni	{'07700964-n'}
tagliatelle	{'07701372-n'}
diebstahl	{'00780889-n'}
mitgefühl	{'07553301-n'}
verschweigen	{'01048912-n'}
lemur	{'02496913-n'}
erbrechen	{'00118733-n'}
kaiser	{'10053004-n'}
pause	{'15274074-n'}
fotomontage	{'03927201-n'}
dip	{'07582609-n'}
schwan	{'09262490-n'}
geschlechtertrennung	{'08380340-n'}
royalist	{'10327824-n'}
monarchist	{'10327824-n'}
wunderstrauch	{'12923652-n'}
nazaret	{'08794193-n'}
purpurglöckchen	{'12798284-n'}
rabe	{'01578821-n'}
vorliebe	{'07497473-n'}
galgant	{'12356960-n'}
territorium	{'08552138-n'}
mauritier	{'09722530-n'}
toxikologie	{'06064462-n'}
pharmakokinetik	{'06055529-n'}
chemotherapie	{'00662340-n'}
physiotherapie	{'00700000-n'}
nährstoff	{'00021265-n'}
freitod	{'00222485-n'}
wahl	{'00181781-n'}
kiew	{'09015907-n'}
krim	{'09015460-n'}
tschernobyl	{'09016365-n'}
donau	{'09263087-n'}
charkiw	{'09016860-n'}
donezk	{'09016099-n'}
odessa	{'09017005-n'}
salamander	{'01629276-n'}
frosch	{'01639765-n'}
abzeichen	{'06883073-n', '06882561-n'}
fußmatte	{'03223299-n'}
klassenlehrer	{'10694258-n'}
spülen	{'00255710-n'}
dover	{'09070233-n'}
runde	{'00466377-n'}
kartusche	{'02971691-n'}
bluterbrechen	{'00119210-n'}
hyperemesis	{'00119297-n'}
wiederkäuen	{'00119079-n'}
aronstab	{'11779300-n'}
vermehrung	{'00849982-n'}
herkunft	{'08101937-n', '08507558-n'}
drucktechnik	{'00937476-n'}
aquatinta	{'00939091-n'}
aerosol	{'11422597-n'}
enden	{'08566028-n'}
gin	{'00496877-n'}
canasta	{'00497060-n'}
ergebung	{'07509325-n'}
demut	{'07509325-n'}
zucchini	{'12158148-n'}
fuchsschwanz	{'11824146-n'}
referenz	{'06763681-n'}
ohrenheilkunde	{'06054700-n'}
uran	{'14660443-n'}
stockente	{'01847806-n'}
pfeifente	{'01848648-n'}
krickente	{'01848123-n'}
spießente	{'01849157-n'}
löffelente	{'01848976-n'}
mal	{'15122231-n'}
auswahl	{'00161243-n'}
tyrann	{'10735298-n'}
gliazellen	{'05467054-n'}
großkatze	{'02127808-n'}
verteilung	{'07445896-n'}
weiblichkeit	{'04667660-n'}
asket	{'09758173-n'}
gilde	{'08227214-n'}
übergewicht	{'05000342-n'}
trizyklisch	{'04482543-n'}
schaf	{'02411705-n'}
seidelbast	{'12347158-n'}
restaurant	{'04081281-n'}
kläger	{'10672192-n'}
dromedar	{'02437312-n'}
beutelratte	{'01881171-n'}
wombat	{'01883070-n'}
pilgern	{'00311687-n'}
steinfliege	{'02262803-n'}
metonymie	{'07107676-n'}
erzielen	{'00186634-n'}
mineralocorticoid	{'14751863-n'}
hämangiom	{'14247575-n'}
lymphangiom	{'14247954-n'}
bücher	{'06410904-n', '02870092-n'}
taschenbuch	{'03973170-n'}
neoplasie	{'14235200-n'}
trottellumme	{'02046759-n'}
krabbentaucher	{'02046171-n'}
tordalk	{'02045864-n'}
epitop	{'15037664-n'}
schärpe	{'03438071-n'}
uracil	{'15084357-n'}
weißdorn	{'12627750-n', '12626353-n'}
mai	{'12627750-n'}
hagedorn	{'12626353-n'}
leere	{'14455206-n'}
belletristik	{'06367107-n'}
islam	{'06234825-n', '08095647-n'}
souffleuse	{'04010779-n'}
erscheinung	{'07323231-n'}
georgetown	{'08948704-n'}
guyaner	{'09712324-n'}
lupine	{'12546183-n'}
quastenflosser	{'02515713-n'}
lilie	{'12426248-n'}
gestapo	{'08211760-n'}
schlammspringer	{'02619550-n'}
libanesisch	{'09720595-n'}
beirut	{'08957806-n'}
perseus	{'09390236-n'}
kuskus	{'01881564-n'}
dreistigkeit	{'04915866-n'}
frechheit	{'04915866-n'}
punktieren	{'00942988-n'}
ungeheuer	{'10109443-n'}
sockel	{'03525454-n', '03158668-n'}
kolumnist	{'09939154-n'}
korrespondent	{'09966710-n'}
beenden	{'08566028-n'}
terminal	{'08566028-n'}
nitrat	{'15015501-n'}
kressen	{'11890507-n'}
trollblume	{'11739365-n'}
irak	{'08913434-n'}
venezuela	{'09161803-n'}
libyen	{'08959683-n'}
katar	{'08986905-n'}
indonesien	{'08907606-n'}
konsonant	{'07115021-n'}
andorn	{'12854048-n'}
minneapolis	{'09102883-n'}
hof	{'03120198-n'}
gift	{'15032376-n'}
sol	{'14590795-n'}
gel	{'14590542-n'}
osteosarkom	{'14241556-n'}
chondrosarkom	{'14240487-n'}
liposarkom	{'14241241-n'}
leiomyosarkom	{'14241088-n'}
rhabdomyosarkom	{'14245405-n'}
sirup	{'07859583-n'}
tragflügel	{'02688443-n'}
flügelschlag	{'03357716-n'}
querruder	{'02685253-n'}
zervix	{'05303232-n'}
eileiter	{'05518870-n'}
plazenta	{'05520699-n'}
endometrium	{'05519820-n'}
mispel	{'12636224-n'}
murgang	{'07405579-n'}
bergsturz	{'07405817-n'}
schneehuhn	{'01796340-n'}
vergiftung	{'14509712-n'}
unterscheidung	{'01153548-n'}
abstimmung	{'00182213-n'}
tunesier	{'09734760-n'}
tunis	{'09037838-n'}
spalt	{'07367812-n'}
hochzeitstag	{'15249799-n'}
rabat	{'08970445-n'}
casablanca	{'08969798-n'}
marrakesch	{'08970189-n'}
tanger	{'08970611-n'}
marokkaner	{'09723564-n'}
fès	{'08970064-n'}
vivarium	{'04539203-n'}
nebel	{'11482706-n'}
normandie	{'08944561-n'}
balsam	{'14896714-n'}
begeisterung	{'07555014-n'}
ginseng	{'11800236-n'}
gemälde	{'05936704-n'}
asien	{'09207288-n'}
vibrator	{'04533042-n'}
koriander	{'12936469-n'}
syllepsis	{'07108657-n'}
mannstreu	{'12938081-n'}
autokratie	{'08361001-n'}
fingerhut	{'15060131-n'}
samarkand	{'09022667-n'}
taschkent	{'09022538-n'}
retorte	{'04083649-n'}
mykose	{'14176895-n'}
grammophon	{'03452267-n'}
schalldose	{'04450465-n'}
halten	{'03485997-n'}
prozession	{'00296585-n'}
knochenhecht	{'02641379-n'}
klotho	{'09565503-n'}
lachesis	{'09565639-n'}
atropos	{'09565787-n'}
opfer	{'00227595-n'}
ahnentafel	{'08101937-n'}
vorfahren	{'08101937-n'}
stammbaum	{'08101937-n'}
feuerwanze	{'02245111-n'}
pestwurz	{'12002428-n'}
agave	{'12476510-n'}
hochmut	{'04887912-n'}
querflöte	{'03372029-n'}
hautausschlag	{'14321953-n'}
statue	{'04306847-n'}
relief	{'04073669-n'}
stuck	{'03779621-n'}
büste	{'02926188-n'}
marmor	{'03721169-n'}
verzierung	{'01675963-v'}
phyle	{'08373969-n'}
künstler	{'09812338-n'}
prophezeiung	{'05775407-n'}
hydantoin	{'03550533-n'}
fahl	{'12727301-n'}
verletzung	{'14298815-n', '07313636-n'}
pita	{'07683617-n'}
holunder	{'12678224-n'}
besen	{'02906734-n'}
ente	{'01846331-n'}
storchschnabel	{'12685431-n'}
immunität	{'14527171-n'}
hopfen	{'12397864-n'}
spieler	{'10439851-n', '10340312-n'}
machairodontinae	{'02127808-n'}
eibe	{'11661372-n'}
nuklease	{'14963916-n'}
huflattich	{'12029635-n'}
groppe	{'02645304-n'}
lachs	{'02534734-n'}
anfänger	{'10363913-n'}
moslemin	{'09682291-n'}
auster	{'01960459-n'}
petersilie	{'12942395-n'}
aussehen	{'00877127-n'}
oregano	{'12853287-n', '07818995-n'}
majoran	{'12853287-n', '07818995-n'}
bankrott	{'14478433-n'}
trypsinogen	{'15081221-n'}
wetten	{'00506658-n'}
jungvogel	{'07644382-n'}
feder	{'01896031-n'}
urvogel	{'01516212-n'}
gefieder	{'01896031-n'}
fixierung	{'00276342-n'}
imprägnierung	{'13496517-n'}
härtung	{'13491060-n'}
austrocknen	{'13491060-n'}
fertig	{'13491060-n'}
gut	{'13250930-n'}
besitz	{'00032613-n'}
vermögen	{'13250398-n'}
stadt	{'08524735-n'}
paracetamol	{'02674482-n'}
fentanyl	{'03328650-n'}
mast	{'03726760-n'}
traube	{'13132486-n'}
spitz	{'02111626-n'}
kandelaber	{'02947818-n'}
kronleuchter	{'02947818-n'}
säbel	{'02987492-n', '02904640-n'}
hühnerfleisch	{'01791625-n'}
kräfte	{'08208016-n'}
nebelhorn	{'03375171-n'}
seelenruhe	{'04904352-n'}
alant	{'11984659-n'}
pompadour	{'04083309-n'}
griff	{'03520654-n', '03485997-n', '03038281-n'}
löwenzahn	{'11988893-n'}
bombarde	{'02867267-n'}
pennsylvanien	{'04512476-n'}
philadelphia	{'09136182-n'}
pittsburgh	{'09136582-n'}
wallwurz	{'12822769-n'}
babylon	{'08916832-n'}
babylonien	{'08917503-n'}
assyrien	{'08918944-n'}
zuteilung	{'01083645-n'}
kalisalpeter	{'14861355-n'}
hirtenhund	{'02104523-n'}
landwirtschaft	{'00916464-n'}
zierpflanzenbau	{'00921399-n'}
landschaftsbau	{'00921160-n'}
papyrus	{'14975598-n', '12151365-n'}
nussgras	{'12151615-n'}
schritt	{'04476831-n'}
setzstufe	{'04094720-n'}
träger	{'04359589-n'}
shoshone	{'09668729-n'}
erdnuss	{'11748501-n'}
landstreicherei	{'13943236-n'}
reinigungsmittel	{'15097017-n', '03040587-n'}
monrovia	{'08959495-n'}
audio	{'06278136-n', '04262678-n'}
nitril	{'14827346-n'}
grunzer	{'02588286-n'}
kassava	{'14761578-n'}
strauß	{'01518878-n'}
moa	{'01523105-n'}
nandu	{'01521756-n'}
kiwi	{'07763629-n', '01520576-n'}
lenkung	{'08164585-n'}
carotin	{'15090535-n', '14721236-n'}
lutein	{'14721635-n'}
zeaxanthin	{'14721781-n'}
lycopin	{'14721342-n'}
flöte	{'03945615-n'}
musette	{'03800371-n'}
sauce	{'07829412-n'}
kaschmir	{'08975617-n'}
pakistaner	{'09725772-n'}
peschawar	{'08977527-n'}
karatschi	{'08977211-n'}
islamabad	{'08977035-n'}
massassauga	{'01757677-n'}
bibliothek	{'07978055-n'}
agglutination	{'13428608-n'}
nauruer	{'09723944-n'}
atropin	{'02754756-n'}
heidelbeere	{'12246641-n', '12248574-n'}
kürbis	{'12158798-n', '12158443-n'}
freiheit	{'13994456-n'}
muskelkrampf	{'14360459-n'}
androgen	{'14747587-n'}
not	{'14449405-n'}
forstwirtschaft	{'06071934-n'}
otter	{'02444819-n'}
portrait	{'03987079-n'}
hoch	{'14520670-n'}
reinkarnation	{'07321247-n'}
geißel	{'01458302-n'}
akrosom	{'05457795-n'}
neger	{'09638009-n'}
spielzeug	{'03964744-n'}
waldnymphe	{'09551040-n'}
straßen	{'04096066-n'}
kappe	{'03531281-n'}
turban	{'04498389-n'}
mitra	{'03773970-n'}
sedativum	{'04166553-n'}
pyrimidin	{'14999913-n'}
gekämpft	{'01090335-v'}
acrylnitril	{'14998677-n'}
schrecken	{'00759500-n'}
kette	{'08376250-n'}
berichterstattung	{'06266710-n'}
sufi	{'10672371-n'}
ichneumon	{'02137888-n'}
geflügel	{'07644706-n'}
huhn	{'01791625-n'}
truthuhn	{'01794158-n'}
haddsch	{'05915034-n'}
alekto	{'09506598-n'}
tisiphone	{'09506751-n'}
studie	{'05996646-n'}
igel	{'01893825-n'}
aurikel	{'12091806-n'}
schlüsselblume	{'12091377-n'}
rückfall	{'00068333-n'}
tetragramm	{'06360996-n'}
pharmakologie	{'06054892-n'}
ringelgans	{'01857325-n'}
hanoi	{'09164095-n'}
vietnamese	{'09747191-n'}
saigon	{'09164241-n'}
standarte	{'04301140-n', '02788021-n'}
trikolore	{'04481796-n'}
wimpel	{'03911866-n'}
kroatien	{'08815858-n'}
vertreibung	{'00206302-n'}
gründling	{'01443243-n'}
gürteltier	{'02454379-n'}
argument	{'07183151-n'}
myzel	{'13022709-n'}
hymenium	{'11550474-n'}
candida	{'13079419-n'}
shiitake	{'13001930-n'}
pilz	{'13054073-n', '12992868-n'}
mutterkorn	{'12965626-n'}
thunfisch	{'02626762-n'}
converso	{'09962214-n'}
zyklotron	{'03156071-n'}
amphetamin	{'02704153-n'}
methylphenidat	{'03756624-n'}
flugkapitän	{'09892693-n'}
seifenkraut	{'11814584-n'}
homograph	{'07131022-n'}
homophon	{'07131169-n'}
monster	{'09491966-n'}
mauerpfeffer	{'12785889-n'}
cumulus	{'09261960-n'}
federwolke	{'09245964-n'}
nimbus	{'09371686-n'}
schleierwolke	{'09245833-n'}
cumulonimbus	{'09261772-n'}
kondensstreifen	{'09255519-n'}
papst	{'10453533-n'}
schusswaffe	{'03343853-n'}
karabiner	{'02961451-n'}
narzisse	{'12421683-n'}
eukalyptus	{'12334891-n'}
horn	{'01325417-n', '03536761-n'}
pferde	{'02374451-n'}
leiste	{'03780392-n'}
zierleiste	{'03780392-n'}
nikosia	{'08757132-n'}
sure	{'06461830-n'}
sehnenscheidenentzündung	{'14356578-n'}
einkauf	{'00081572-n'}
division	{'08213205-n'}
heer	{'08191230-n'}
klapperschlange	{'01754876-n'}
agitprop	{'06674791-n'}
balsamwurzel	{'11939180-n'}
primatologie	{'06073647-n'}
aufstand	{'00962129-n'}
mol	{'01889520-n'}
vorspeise	{'07581346-n'}
löten	{'01595260-v'}
lot	{'01595260-v'}
cer	{'14633957-n'}
gadolinium	{'14638041-n'}
brasilholz	{'12489268-n'}
sterol	{'15058310-n'}
hiv	{'01336718-n'}
kratzbeere	{'12654387-n'}
börsenmakler	{'09777012-n'}
salbe	{'03845550-n'}
mittel	{'05154676-n'}
scat	{'00547244-n'}
seehund	{'02076196-n'}
walross	{'02081571-n'}
bruder	{'09877951-n'}
rezitativ	{'07087346-n'}
konkubinat	{'01054876-n'}
farce	{'07016250-n'}
situationskomik	{'07017877-n'}
sitcom	{'07017733-n'}
strafrecht	{'06152460-n'}
soziologie	{'06151693-n'}
verrücktheit	{'14397889-n'}
wahnsinn	{'14395240-n'}
lilongwe	{'08963095-n'}
riff	{'07045788-n'}
kinshasa	{'08735164-n'}
kalmar	{'07781801-n'}
tintenfisch	{'07781801-n'}
plattform	{'03961939-n'}
gesungen	{'01729431-v'}
spermatogenese	{'13560329-n'}
oogenese	{'13524612-n'}
geschmack	{'05715864-n'}
bitter	{'07889814-n', '05717115-n'}
kokosnuss	{'07773238-n'}
verlegenheit	{'07507098-n'}
verein	{'08049401-n'}
bergminze	{'12842887-n'}
zünder	{'03666591-n'}
flüssigkeitsansammlung	{'14316714-n'}
agrigent	{'08811812-n'}
palermo	{'08811473-n'}
syrakus	{'08810051-n'}
laus	{'02251775-n'}
blattläuse	{'02253127-n'}
rundholz	{'04267577-n'}
polygon	{'13866144-n'}
karelisch	{'09706746-n'}
symbolismus	{'06807849-n'}
signal	{'11447319-n', '06791372-n'}
salami	{'07677747-n'}
chorizo	{'07676520-n'}
leberwurst	{'07677360-n'}
wiener	{'07676602-n'}
moiren	{'09565099-n'}
phototropismus	{'00862399-n'}
reaktion	{'13447361-n', '00859001-n'}
gravitropismus	{'00861990-n'}
heliotropismus	{'00862079-n'}
thermotropismus	{'00862595-n'}
wohnsitz	{'03719053-n'}
jagd	{'01143838-v', '00945401-n'}
fluorapatit	{'14675216-n'}
phosphor	{'14649197-n'}
agnosie	{'14099933-n'}
dudelsack	{'02775483-n'}
rabbiner	{'10502329-n'}
strahlentierchen	{'01391028-n'}
kochen	{'00243918-n'}
vorbereitung	{'00243918-n'}
hecht	{'02561108-n'}
bischkek	{'09020792-n'}
bergsteigen	{'01922895-v'}
mailand	{'08809165-n'}
kante	{'08593262-n'}
kraft	{'08208016-n', '10461424-n'}
nährgewebe	{'11682512-n'}
perikarp	{'11684264-n'}
hinkelstein	{'03745571-n'}
hünenbett	{'03220237-n'}
plasminogen	{'14983911-n'}
katalog	{'06487897-n'}
mauerwerk	{'03725717-n'}
einbruch	{'00785263-n'}
verfestigung	{'13491060-n'}
warzenschwein	{'02397096-n'}
funktionalität	{'06582403-n'}
unterprogramm	{'06582403-n'}
freeware	{'06567865-n'}
shareware	{'06587596-n'}
befreiung	{'00095502-n'}
durchschlag	{'04332243-n'}
kissen	{'03151500-n'}
feuerwaffe	{'03343853-n'}
planung	{'01144355-n'}
schnittstelle	{'03578656-n'}
bürste	{'02908217-n'}
tora	{'06408442-n'}
leuchtdiode	{'03666362-n'}
abführmittel	{'03650084-n'}
kaiserkrone	{'12451915-n'}
wohnungen	{'03546340-n'}
maisonette	{'03713254-n'}
penthouse	{'03912821-n'}
süßungsmittel	{'07858595-n'}
karamell	{'07595180-n'}
sitzung	{'08307589-n'}
tollkirsche	{'02825004-n', '12898342-n'}
budapest	{'08952423-n'}
ungar	{'09713985-n'}
plattensee	{'09212935-n'}
europäer	{'09686536-n'}
norwegen	{'08764107-n'}
oberlicht	{'04473108-n'}
jalousie	{'03692842-n'}
dachfenster	{'04232800-n'}
scheibe	{'03881893-n'}
bullauge	{'03986562-n'}
goldhähnchen	{'01563945-n', '01563746-n'}
wetter	{'01928283-v'}
halbinsel	{'01928154-v'}
wenden	{'01946408-v'}
rennen	{'01927903-v'}
kreuzen	{'01946817-v'}
vorliek	{'01928154-v'}
killen	{'01928154-v'}
segeln	{'01944692-v'}
saibling	{'02538406-n'}
herberge	{'03541696-n'}
schuppen	{'14231207-n', '01902877-n'}
steak	{'07657903-n'}
filet	{'07660065-n'}
bestätigung	{'06628861-n'}
mydriatikum	{'03803610-n'}
tang	{'01403457-n'}
eosin	{'14987484-n'}
pfeilspitze	{'02743050-n'}
bolzen	{'04031481-n'}
bi	{'09857007-n'}
empfänger	{'04402580-n'}
telefonhörer	{'03488438-n'}
libysch	{'09720967-n'}
bengasi	{'08960363-n'}
text	{'06387980-n'}
zitterer	{'10585773-n'}
hochchinesisch	{'07747951-n'}
personal	{'08208016-n', '08287586-n'}
litotes	{'07104292-n'}
plattenkiemer	{'01481599-n'}
holocephali	{'01480715-n'}
laufen	{'01904930-v'}
lähmung	{'14558226-n'}
espresso	{'07920052-n'}
erdrauch	{'11909527-n'}
zauberspruch	{'07159791-n'}
zauber	{'07159791-n'}
beschwörung	{'07160296-n'}
orthoptera	{'02226183-n'}
schwitzen	{'13535261-n'}
drucken	{'04003597-n'}
notiz	{'06504462-n'}
portugiesisch	{'09728009-n'}
azoren	{'08985345-n'}
aldohexose	{'14710501-n'}
porto	{'08986374-n'}
ketohexose	{'14927587-n'}
lissabon	{'08986066-n'}
ängstlichkeit	{'07522729-n'}
weißclown	{'10778044-n'}
narr	{'10221312-n'}
harlekin	{'10160280-n'}
lorbeerkranz	{'03648804-n'}
rotor	{'04111668-n'}
spektakel	{'04271891-n'}
migräne	{'14327707-n'}
kalorie	{'13726296-n'}
rittersporn	{'11733312-n'}
einlegearbeit	{'01682039-v'}
bronchopneumonie	{'14148231-n'}
konföderation	{'09050244-n'}
epikard	{'05428645-n'}
logo	{'07272084-n'}
schild	{'01903346-n'}
marke	{'06851742-n'}
spinett	{'04278247-n', '03496296-n'}
tamburin	{'04387400-n'}
spitzkiel	{'12554526-n'}
scheinbeere	{'12235765-n'}
unterkunft	{'02652494-v'}
widerspruch	{'07206887-n'}
lederhose	{'03653833-n'}
wassermelone	{'12164065-n'}
kapsel	{'11685179-n'}
großsprecherei	{'07229530-n'}
verfügung	{'06552984-n'}
schmiedbarkeit	{'05021884-n'}
atelier	{'02746841-n'}
fehler	{'06769392-n', '14463826-n'}
drehbuchautor	{'10564905-n'}
abbild	{'03876519-n'}
maleo	{'01802159-n'}
klettern	{'00325110-n'}
granit	{'14890286-n'}
bärenhüter	{'09226738-n'}
gefäß	{'04531098-n'}
blinddarm	{'05537576-n'}
heparin	{'03514974-n'}
angiom	{'14235928-n'}
tabakpflanze	{'12907465-n'}
getanzt	{'01708676-v'}
lager	{'02944826-n'}
adenokarzinom	{'14246710-n'}
